0 health, insurance, medical, care, medicare, people, elderly, retirement, medicaid, physicians, longevity, premiums, security, benefits, costs, healthcare, old, insured, uninsured, pay, malpractice, patients, average, afford, insurers
31 iq, iqs, highiq, returns, genetic, education, intelligence, 100, college, average, 85, test, intellectual, persons, performance, factor, jews, educational, smart, childrens, higher, complexity, innate, incomes, including
32 discrimination, blacks, affirmative, black, white, indian, employment, laws, whites, groups, reservations, racial, situations, privileges, employees, integration, category, ethnic, forbidding, antidiscrimination, beneficiaries, family, assimilation, occupational, disfavored
33 stimulus, program, billion, package, enacted, unemployment, 2009, president, employment, administration, industries, spending, payments, areas, 862, obama, agenda, clunkers, poorly, jobs, economy, deficit, keyness, provisions, private
34 food, agricultural, farm, prices, subsidies, population, agriculture, commodities, demand, farmers, supply, countries, meat, rising, increases, foodstamp, farmer, acreage, grains, bread, production, rural, products, growth, crops
35 french, riots, riot, france, race, rioters, rioting, unemployment, looting, urban, 1968, black, demonstrations, youth, police, propensity, law, action, king, likelihood, slums, political, demonstrators, muslims, sympathy
36 billion, costs, cost, benefits, transfer, deadweight, social, costbenefit, figure, 128, grand, analysis, estimated, benefit, total, private, assumption, real, 328, themis, year, incurred, payment, program, costly
37 gambling, casino, online, prediction, casinos, bet, indian, lotteries, odds, markets, gamble, betting, gamblers, addiction, poker, lottery, internet, gambler, market, slot, iowa, deposit, expected, bets, iem
38 auto, detroit, automakers, manufacturers, bailout, companies, bankruptcy, workers, industry, domestic, automobile, toyota, union, vehicles, cars, liquidation, liquidate, motors, republican, transplants, wages, suppliers, car, parts, chrysler
39 homosexual, marriage, homosexuals, homosexuality, gay, marriages, heterosexual, couples, heterosexuals, sexual, unions, civil, innate, tolerance, marry, opposition, states, relationships, genetic, rights, recognized, partnerships, kinseys, samesex, registered
40 drunk, driving, liability, drivers, driver, speed, tort, limit, injury, liable, accident, drive, victim, posted, accidents, rescue, injurers, breach, punished, arrested, police, deaths, employee, reckless, ticket
41 conservatism, conservative, friedman, movement, milton, economists, buckley, obama, conservatives, economics, clinton, nixon, hayek, william, abortion, friedrich, reagan, republican, election, george, intellectuals, friedmans, economist, strong, liberal
42 copyright, file, grokster, copying, infringement, sharing, contributory, software, plagiarism, copyrighted, computer, owners, writer, piracy, recordings, royalties, music, filesharing, author, film, copyrights, court, users, cd, copy
43 greece, greek, euro, currency, eurozone, european, greeces, euros, eu, devaluation, austerity, debt, economic, abandoning, countries, fiscal, government, defaulting, spain, bail, greeks, germans, nations, sector, domino
44 patent, protection, invention, patents, software, pharmaceutical, upfront, patented, inventor, copyright, patentee, license, years, drug, patentees, inventions, innovation, infringement, infringing, research, costs, investment, obtained, duplicate, market
45 religious, church, religion, commandments, churches, religiosity, secular, belief, establish, establishment, catholic, displays, observance, monument, europe, sect, sects, roman, states, united, amendment, public, hume, monotheism, americans
46 minimum, wage, disemployment, hour, 725, minimumwage, increase, wages, employment, workers, laws, poverty, federal, effect, marginal, nonpoor, income, work, 40hour, 2000, poor, david, effects, teenagers, economists
47 nations, nation, countries, territorial, country, nationalism, large, barriers, inhabit, splitting, decline, ethnographic, asian, scale, world, cultural, factors, population, asia, language, tiny, switzerland, britain, power, populations
48 becker, agree, post, comment, discusses, excellent, analysis, blogged, says, disagreements, drift, relates, optimistic, piece, distinct, pessimism, issue, discussion, agreement, broad, professor, written, foundation, responsibility, suggest
49 stem, research, cell, cells, organs, kidney, transplant, embryos, kidneys, vitro, fertilization, therapeutic, dialysis, organ, abortion, transplantation, embryo, purposes, oppose, researchers, clone, embryonic, donor, patient, abortions
50 surveillance, privacy, cameras, concealment, connotations, conspiracy, information, private, conceal, communications, criminals, facts, police, camera, transact, sidewalks, network, public, word, streets, strangers, cheating, marathon, discreditable, concealments
51 bankruptcy, creditors, debts, chapter, assets, debtor, bankrupt, declare, act, discharge, creditor, liquidation, proceeding, condition, reorganized, owed, bankrupts, debt, claims, firm, cram, reform, debtors, payments, reorganization
52 books, book, bookstore, amazon, bookstores, printed, customers, electronic, ebook, publishers, kindle, reader, distribution, print, digital, seller, advantages, publisher, browsing, sales, copy, published, delivery, access, authors
53 senate, filibuster, senators, majority, vote, democratic, filibusters, cloture, elected, legislation, votes, filibustering, supermajority, amendment, senator, republican, concessions, constitution, filibusterproof, partys, rules, twothirds, representatives, debate, legislatures
54 stock, investors, hedge, speculators, prices, profits, stocks, securities, trading, funds, speculative, managers, asset, future, market, markets, companies, analysts, speculation, theory, fund, peak, finance, frank, financial
55 liberal, professors, conservative, left, skew, humanities, liberals, percent, jews, 1960s, faculties, extreme, journalists, sciences, faculty, political, colleges, universities, intellectuals, antisemitism, grosssimmons, liberalarts, liberalism, radicals, spectrum
56 athletes, olympic, doping, sports, training, athletic, steroids, competition, drugs, games, teams, baseball, fans, olympics, team, players, banning, linemen, leagues, football, athlete, teenagers, ban, 400pound, heavily
57 marriage, divorce, contractual, marriages, wife, relationship, cohabitation, husband, nofault, separation, married, couples, wives, benefits, marital, cohabitations, sex, alimony, marrying, dissolved, end, commitment, parties, unmarried, dissolution
58 microfinance, grameen, bank, bangladesh, microlending, microcredit, yunus, microfinanciers, commercial, borrowers, clan, loan, loans, lending, poverty, india, microloans, poor, rates, fringe, borrower, million, willing, model, andhra
59 charitable, charity, donations, deduction, giving, deductions, shareholder, corporations, charities, 10, corporation, tax, donor, shareholders, exemption, credits, income, gifts, reduction, gives, donation, contribution, efficiency, point, expenses
60 guns, gun, ownership, lawabiding, hunting, criminals, demand, laws, possession, selfdefense, constitutional, commit, armed, amendment, crime, crimes, prelude, gunregistration, criminal, lunatics, coup, punishment, cultural, weapon, private
61 gates, microsoft, microsofts, gatess, business, netscape, computer, successful, windows, fortunes, recognition, established, type, speech, wealthiest, organization, poor, customers, businesses, apple, reputation, startup, buffet, firms, rapidity
62 rules, discretion, rule, standards, law, circumstances, standard, rulemaker, judgemade, legal, guidelines, sentencing, clarity, guidance, definite, enforced, choice, antitrust, sentence, laws, allow, judge, judicial, regulation, constitution
63 bubble, bubbles, stock, irrational, asset, behavior, table, market, herd, thinking, rational, linkedin, industry, bursting, squared, trading, phenomenon, speculator, profit, assetprice, arises, expanding, stocks, rising, explained
64 norway, capita, countries, percentage, gdp, denmark, sweden, nations, finland, netherlands, employees, spain, greece, parity, united, canada, portugal, scandinavian, ranked, population, germany, wealthiest, singapore, states, middle
65 rankings, ranking, news, ranks, rank, quality, schools, composite, weighting, reports, colleges, college, information, education, ranked, final, multifactor, influential, school, counselors, sat, scorecard, criticized, systems, annually
66 aid, foreign, foundations, countries, nations, assistance, abroad, overseas, money, aggregate, percentage, wealthy, corrupt, tariff, giving, redirectednot, predicament, recipientsto, foundation, gates, united, policies, corruption, reliance, squandered
67 contraception, sex, church, catholic, priests, doctrine, condoms, nonmarital, aids, homosexual, procreative, papal, nuns, sexual, pope, churchs, christianity, catholics, abstinence, facilitates, undermine, venereal, rhythm, prostitutes, masturbation
68 currency, dollar, dollars, international, reserve, foreign, currencies, transactions, reserves, devaluation, exports, countries, merchants, debt, trade, imports, devalue, buy, penny, surpluses, accumulated, status, worlds, banks, major
69 bureaucracy, department, computer, bureaucracies, officials, agency, provider, complexity, supervise, procurement, agencies, bureaucratic, needs, consultant, technical, governmental, contracts, highlevel, contacts, administration, formal, secretary, institutions, chief, goals
70 summers, harvard, faculty, president, university, apology, member, resignation, campus, remarks, summerss, faculties, controversy, inferior, apologized, abject, huff, communiststyle, conanthas, denounces, robinson, fourlegged, reeducation, denunciator, alston
71 capitalism, communism, socialism, capitalist, socialist, communist, economic, collapse, boom, labour, bismarck, versus, ideologies, soviet, hayeks, economies, century, logic, modern, twentieth, regulation, countries, successful, rationale, radical
72 regulation, regulatory, regulated, regulations, regulators, markets, instruments, abler, free, restrictions, externalities, safety, industries, economic, tendency, hire, methods, market, layer, hacks, constraining, unconstrained, capturethe, irksome, industryis
73 ceiling, debt, statute, congress, federal, repeal, government, vote, legislative, president, raise, borrowing, threatening, treasury, lever, raising, passed, limit, improper, houses, prevents, congresss, refusal, signed, defaulting
74 proposal, bloombergs, enacted, ought, congress, implemented, issue, operate, step, proposals, attention, intervention, concerns, significance, ails, proposalan, announcements, proposed, congressman, getter, repeatedly, container, nonenforcement, misconceived, agitation
