0 immigrants, immigration, illegal, mexico, amnesty, immigrant, citizenship, border, mexican, illegals, aliens, immigrate, illegally, mexicans, visas, skilled, borders, visa, citizens, fee, states, h1b, foreigners, born, deported
33 deficit, deficits, budget, debt, spending, fiscal, federal, gdp, trillion, growth, balanced, expenditures, government, cuts, debtgdp, budgets, budgeting, revenues, congress, faster, balance, burden, annual, cut, governments
34 privacy, information, surveillance, cameras, disclosure, conceal, communications, transparency, records, concealment, discreditable, private, public, irrational, wiretapping, facts, nude, attention, connotations, secret, nudity, rights, embarassing, personal, kept
35 chris, john, david, dan, peter, gary, christopher, matt, graves, michael, thomas, amen, brian, scott, tom, eric, mike, sincerely, joel, marshall, carl, sally, richard, rodney, ken
36 military, soldiers, army, draft, volunteer, mercenaries, volunteers, personnel, armed, contractors, soldier, enlisted, drafted, combat, casualties, iraq, infantry, troops, voluntary, civilian, mercenary, conscription, patriotism, join, war
37 becker, beckers, prof, dr, professor, mr, comments, gary, thank, agree, comment, m16, argument, read, dear, insightful, arguments, think, skepticism, issue, convincing, stupid, sorry, posts, point
38 market, markets, failure, failures, intervention, efficient, tweaking, government, trust, failing, perfect, chamber, externalities, intervene, efficiency, beauty, mechanisms, commerce, confluence, speculators, operate, involvement, workings, ghetto, participants
39 problem, solution, problems, solutions, solve, issue, fix, solved, issues, bug, solving, thats, simple, whats, practical, addressed, deeper, similiar, alternatives, negotations, fatefuldreadful, implement, solves, problemsolvers, sounds
40 charitable, charity, charities, donations, giving, donate, donors, philanthropy, foreign, organizations, donation, shareholders, deduction, gifts, contributions, deductions, private, donor, corporations, trusts, aid, philanthropic, shareholder, foundation, tax
41 obesity, obese, fat, weight, overweight, sedentary, eating, diet, bmi, exercise, pounds, health, diets, epidemic, adults, body, disability, teenagers, foods, fatter, gain, food, consequences, thinness, intake
42 ceo, ceos, compensation, executive, executives, 400, overpaid, pay, times, company, salaries, shareholders, 1980, 500, worker, salary, management, boards, stock, paid, wages, directors, companies, shareholder, corporation
43 data, statistics, analysis, studies, study, stats, statistical, research, conclusions, analyses, evidence, empirically, statistic, support, postner, pca, accuracy, unreliable, survey, results, assertions, hypothesis, hockey, findings, cited
44 energy, solar, wind, fossil, fuels, conservation, electricity, coal, grid, fuel, power, generation, windmills, alternatives, batteries, electrical, independence, electric, turbines, cyclic, renewable, consumption, panels, conserving, plants
45 sports, athletes, olympic, baseball, sport, ncaa, football, athletic, olympics, players, medals, basketball, games, teams, athletics, athlete, leagues, medal, soccer, gold, competition, stadiums, college, mlb, training
46 saddam, iraq, wmd, hussein, wmds, invasion, iraqi, weapons, iraqis, blair, saddams, war, invaded, kuwait, tony, invade, 911, attack, regime, afghanistan, bush, invading, threat, overthrown, sons
47 nuclear, plants, reactors, power, waste, reactor, weapons, nukes, plutonium, energy, uranium, disposal, radiation, fuel, nuke, radioactive, recycling, proliferation, safety, yucca, chernobyl, coal, bomb, nukie, reprocessing
48 regulation, regulations, regulators, regulatory, regulated, regulate, captured, regulating, agency, regulator, rule, agencies, discretionary, crisis, government, deregulation, reregulation, industries, lax, milked, overhaul, enforcement, need, deregulated, market
49 warming, global, climate, temperature, ice, temperatures, scientists, cooling, scientific, earths, warmer, anthropogenic, degrees, consensus, earth, warm, debunk, planet, science, debate, ipcc, models, fahrenheit, greenhouse, evidence
50 organs, organ, transplants, kidney, transplant, donation, kidneys, donate, donor, donors, liver, lifesharers, dialysis, opt, donating, waiting, body, cadaver, livers, donated, market, donations, die, allowing, hospital
51 corruption, bribery, bribe, corrupt, bribes, officials, corrupts, extortion, laws, police, bribed, contracts, public, rule, bribing, soft, nightclubs, power, corrupting, honesty, politicians, political, blackmail, widespread, law
52 medicare, medicaid, medical, elderly, seniors, coverage, spending, care, entitlements, insurance, program, drug, hc, prescription, payments, subsidy, cost, reimbursement, pays, reform, entitlement, medigap, prescriptiondrug, 65, expenditures
53 becker, posner, beckerposner, blog, judge, prof, professor, posts, beckers, posners, comments, mr, antibeckerposner, posnerbecker, commentary, messrs, dear, thank, discussed, dr, blogs, richard, read, topic, reading
54 blog, bloggers, blogs, blogging, blogger, media, readers, ethical, blogosphere, thank, posts, content, errors, mainstream, comments, posting, standards, internet, ive, thoughtful, censorship, topics, llc, enjoy, sites
55 city, cities, la, zoning, park, atlanta, town, sprawl, york, urban, nyc, towns, suburbs, manhattan, angeles, lived, dc, los, area, planning, michigan, california, ny, center, parks
56 terrorism, terrorists, terrorist, terror, poverty, acts, attacks, causes, grievances, violence, vacations, 911, warfare, groups, attack, relation, bombers, sponsor, suicide, incitements, grievancedriven, kill, related, society, recruiting
57 loans, student, loan, students, debt, colleges, college, tuition, borrow, graduates, repayment, incomecontingent, education, sallie, repay, subsidized, fixed, mae, rates, graduate, earn, repaid, collateral, financing, federal
58 stimulus, package, spending, fiscal, 800, billion, packages, obama, infrastructure, program, projects, employment, enacted, congress, 2009, construction, unemployment, economy, stimulate, president, administration, clunkers, plan, bailouts, multiplier
59 wealth, rich, wealthy, richer, superrich, distribution, poor, billionaires, fort, money, riches, creation, accumulated, accumulation, society, finite, helmsely, mrs, concentration, billionaire, preferences, vast, insane, distributed, individuals
60 books, bookstores, book, kindle, bookstore, amazon, publishers, ereaders, digital, ebooks, ebook, libraries, library, reading, readers, electronic, ereader, authors, copies, store, reader, stores, publishing, piracy, sales
61 schools, school, public, funding, kids, parents, districts, education, parochial, attendance, schooling, students, areas, children, attend, truancy, pupil, catholic, charter, district, student, improve, inadequate, funded, truant
62 insurance, insurers, premiums, companies, insured, coverage, premium, risk, insure, buy, health, private, insurer, pools, plans, pool, policies, covered, providers, industry, insurable, maw, pay, costs, pooling
63 loans, loan, borrowers, lending, lenders, borrower, lender, borrow, lend, repay, borrowing, repayment, equity, repaid, risk, lent, collateral, defaulted, banks, rate, credit, repayments, assets, guarantees, mortgage
64 estate, inheritance, tax, estates, heirs, inheritances, bequests, death, fortunes, taxes, inherited, taxed, wealth, abolition, dynasties, deceased, inherit, revenue, charitable, abolished, dynasty, family, passed, gains, taxable
65 japanese, japan, japans, tokyo, yen, retirement, competitiveness, industrial, deflation, kobe, 1990s, stagnation, earthquake, abenomics, asia, 60, gdp, aging, oecd, economy, debt, companies, 1980s, growth, penis
66 capitalism, capitalist, capitalists, crony, flaws, capitalistic, functioning, communism, scarce, socialism, failure, resources, efficiently, engine, laissezfaire, deploy, flaw, inherent, feudalism, power, generic, economy, barter, powerful, capital
67 exports, imports, tariffs, export, tariff, trade, import, wto, goods, products, agreements, exporting, barriers, foreign, imported, international, countries, exporter, nations, domestically, doha, duties, production, exporters, producers
68 flu, vaccine, pandemic, vaccines, virus, avian, infected, smallpox, pandemics, epidemic, disease, vaccinated, vaccination, spread, antivirals, tamiflu, diseases, contagious, 19181919, roche, quarantine, outbreak, died, infection, million
69 homosexuality, homosexual, homosexuals, orientation, sexual, gay, gays, heterosexual, heterosexuals, innate, genetic, reactions, impulse, behavior, sexuality, genetics, lesbians, evidence, choice, straight, characteristic, factors, repugnant, environmental, gene
70 bailout, bailouts, bail, bailing, bailed, banks, hazard, financial, bankruptcy, assets, bank, dutch, institutions, taxpayer, outs, executives, taxpayers, liquidity, companies, future, trillion, firms, moral, government, depression
71 argument, arguments, dispute, fallacious, premise, contradiction, fallacies, claim, false, argue, fallacy, reasoning, argumentation, mischaracterization, inductive, premises, assertion, wrong, proposition, arguing, assertions, reasonableminded, argumentcall, invalid, argued
72 constitution, amendment, constitutional, unconstitutional, 14th, madison, clause, federalist, 13th, convention, rights, amendments, confederation, amend, constitutions, preamble, ratification, ratified, written, textual, fourteenth, 1787, delegates, framers, court
73 fed, reserve, feds, central, bank, federal, banks, independent, monetary, congress, discretion, chairman, treasury, oversight, crisis, chairmen, pressure, financial, expectations, branches, reacts, rules, reserves, liquidity, policies
74 mortgage, mortgages, foreclosure, foreclosures, borrowers, securities, lenders, homeowners, lender, loans, underwater, refinancing, lending, homes, borrower, refinance, mortgagebacked, houses, loan, mortgagee, housing, foreclosed, equity, banks, teaser
75 population, overpopulation, malthus, growth, malthusian, billion, populations, density, ehrlich, world, earth, forest, effects, equilibrated, problem, grows, overpopulated, malthusians, sustainable, populated, shrinking, manila, planet, undernourished, geometric
76 muslim, muslims, islam, islamic, europe, extremism, terrorists, followers, terrorist, extremists, arabs, radical, jihad, quran, arab, religion, europes, clerics, terrorism, islamists, islamist, nonmuslims, assimilate, extremist, violent
77 gdp, capita, growth, trillion, measure, year, percent, quarter, gdps, economy, percentage, 20, household, rate, metric, spending, ratio, grow, measured, metrics, real, 15, spends, measely, wellbeing
78 law, laws, legal, statutes, rule, enforced, enforce, teeth, lawless, obey, break, natural, statute, martial, cases, conflict, flaunted, rules, extraterritorial, commonlaw, eventualities, courts, clayton, illegitimate, authority
79 walmart, walmarts, costco, employees, wal, fattest, mart, heirs, employee, wages, associates, walton, taxpayers, richest, store, wage, retail, paying, pay, line, pays, customers, sams, subsidizing, afford
80 retirement, retire, pension, pensions, age, retirees, ages, retired, retirements, savings, plans, benefits, underfunded, unfunded, pensioner, employees, defined, compulsory, retiring, older, workers, saving, steel, working, account
81 gates, buffett, buffet, warren, buffetts, buffets, gatess, melinda, foundations, gift, wealth, fortune, billion, billions, steve, berkshire, philanthropy, goldman, stock, hathaway, managing, charity, fortunes, billionaires, wealthiest
82 subsidy, subsidies, subsidize, subsidized, subsidizing, jobsubsidy, direct, hire, program, hires, manufacturing, workers, taxpayer, tax, income, firms, incomes, tariffs, taxpayers, ppf, incentive, eliminate, production, locales, producer
83 aids, hiv, africa, infection, epidemic, hivaids, africans, african, sex, unprotected, prevalence, subsaharan, hivpositive, antiretroviral, infections, medication, prostitutes, condoms, virus, spread, incidence, uganda, infected, expectancy, behavior
84 shareholders, stockholders, shareholder, corporation, management, corporations, shares, managers, corporate, directors, board, stockholder, stock, maximizing, owners, control, company, ownership, interests, swindles, fiduciary, investors, construe, companies, monitoring
85 security, ss, social, retirement, age, benefits, eligibility, payroll, retirees, 65, income, contribution, reich, privatizing, reform, escaped, retired, 1983, accounts, 67, bushs, 70, slice, save, retirements
86 copyright, music, infringement, copyrighted, contributory, sharing, copying, piracy, cd, p2p, copyrights, digital, recordings, software, files, cds, songs, protection, royalties, content, itunes, mp3, cotton, whitney, album
87 depression, depressions, recession, 1930s, 1929, recessions, output, 1937, 1933, recovery, began, depressed, projects, current, consumption, publicworks, 193436, recessiondepression, reallocation, crisis, reduced, euphemism, increasing, overpriced, antidepression
88 jack, jacks, reply, harris, gumbo, comments, pudnhead, joust, sorry, posts, response, particulars, sez, factual, welker, reasoned, misstatements, paraded, hirshleifer, points, appreciate, john, metaphoric, dunce, counterintelligence
89 french, france, frances, unemployment, minimum, labor, productivity, hour, au, employment, youth, contraire, salanie, la, productive, rate, leisure, hours, laws, frenchmen, attendance, workers, worker, jobs, european
90 drunk, driving, drivers, accidents, alcohol, dui, accident, bac, alcoholrelated, fatalities, drinking, sober, drunkdriving, arrested, intoxication, penalties, caused, offenders, convicted, deaths, arrest, fatal, punishments, nonalcohol, crash
91 slavery, slave, slaves, south, civil, southerners, southern, plantation, lincoln, rebellion, fought, confederacy, reconstruction, confederate, souths, north, rights, gettysburg, crow, slaveholding, agrarian, 1861, constitution, enslaved, slaveholders
92 abortion, abortions, fetus, roe, wade, fetuses, infanticide, pregnancy, murder, mothers, prolife, life, prochoice, birth, womans, unborn, sperm, aborted, poll, conception, rights, debate, issue, human, antiabortion
93 happen, end, ends, wont, mess, games, corner, start, doing, headed, prepared, question, theres, badly, today, tille, dodo, nieve, uhhow, shall, deep, hope, forward, prepare, gutwrenching
94 iq, iqs, highiq, intelligence, average, tests, genetic, test, deviation, distribution, returns, assortative, 115, mating, bell, correlation, college, scores, mental, noncognitive, genes, innate, children, heckman, education
95 comments, respond, comment, reply, response, usual, briefly, responses, posts, read, fisking, replies, thoughtful, number, bold, 145pm, weeks, let, addressed, replying, forgive, enjoyed, thread, commenter, errors
96 inequality, income, distribution, incomes, nonissue, equality, rising, earnings, median, united, degree, household, irs, statesand, disparity, wealth, resentment, structural, measures, problem, data, inequalitywhich, truthincome, greatbetween, issuethen
97 free, market, freemarket, markets, enterprise, ideology, freemarkets, collectivist, pure, voluntary, tribe, perverted, selfregulating, democratic, consumptionreduction, freemarketeer, manpower, incumbents, ideologue, democratically, marketeers, corrosion, teaches, action, tacky
98 2b, 2a, lot, , , , , , , , , , , , , , , , , , , , , , 
99 keynesian, keynes, keynesians, keynesianism, spurring, keyness, deficits, stimulus, finetuning, monetarist, pound, discredited, inexorably, maynard, monetarism, stagflation, austrian, islm, macroeconomics, spending, economists, economics, spiral, economist, deficit
100 ha, haha, lol, sigh, hee, haw, hah, hahaha, omg, fortunately, , , , , , , , , , , , , , , 
101 gambling, casino, poker, casinos, gamble, gamblers, games, lotteries, odds, deposit, slot, blackjack, internet, game, vegas, gambler, craps, players, addictive, gambles, establishments, betting, vodka, entertainment, gaming
102 law, schools, lawyers, bar, profession, students, applicants, lawyer, graduates, professors, rankings, ranked, degree, student, harvard, accreditation, sociology, university, undergrad, bono, qualified, career, undergraduate, ranking, faculty
103 bubbles, bubble, burst, asset, fundamentals, dotcom, pop, bursting, tech, irrational, stock, pops, exuberance, reserve, market, prices, bursts, 1990s, speculator, participants, behavior, buying, culturalcalculation, tulip, expectations
104 monopoly, monopolies, cartel, monopolist, monopsony, oligopolies, monopolists, cartels, bilateral, monopolistic, oligopoly, competition, profits, semimonopolistic, vertical, competitors, game, dynamic, publically, efficient, competitive, oligopolistic, privatized, markets, pricing
105 lawyers, lawyer, firms, firm, attorneys, attorney, law, profession, client, associates, clients, lawyering, trial, minted, practice, litigation, counsel, criminal, paralegals, businessman, grunt, hour, defence, salaries, courts
106 water, irrigation, lake, pipes, systems, supply, desalination, salmon, reutilization, river, dam, mining, privatization, pricing, mgl, rivers, farmers, privatized, copper, households, flow, aquifer, stream, used, lawns
107 nature, preference, human, selfish, social, preferences, patterns, behavior, selfinterest, interactions, relationships, desires, habitual, selves, organic, empathize, personal, personality, self, beings, people, selfishness, process, motives, tender
108 bankruptcy, creditors, chapter, debtors, debts, debtor, code, reform, assets, bankrupt, creditor, bankrupts, credit, act, liquidation, proceeding, bankruptcies, postbankruptcy, declare, reorganized, condition, debt, law, orderly, lawyer
109 ethanol, corn, cane, sugar, eth, fuel, production, subsidies, biofuels, energy, gasoline, subsidy, brazilian, cellulosic, tortillas, diversion, gallon, food, multifuel, tariff, mexicos, farmers, feedstock, gashogs, iowa
110 risk, risks, safety, probability, risky, risktaking, risktakers, riskbenefit, aversion, riskaversion, safe, predators, events, thrill, dangerous, identying, riskthey, dangers, hindsight, nets, penalities, utility, irrationally, management, lapses
111 answer, yes, guess, tell, bullsh1t, knows, unlikely, certain, wash, coicindencei, stated, clue, snorri, dont, aparently, saying, impertinent, likely, title, woulda, definitely, think, hollowing, thats, unfortunatly
112 carbon, emissions, offsets, co2, dioxide, tax, cap, carbonoffset, emission, terrapass, atmosphere, offset, warming, quota, technologies, reduce, allowances, emitted, footprint, global, capandtrade, tons, carbonoffsets, gases, fuels
113 greece, greek, euro, greeces, greeks, eu, zone, currency, austerity, imf, eurozone, debt, devalue, euros, germany, germans, fiscal, defaulted, crisis, italy, european, adjustment, spain, bail, broke
114 tide, boats, ship, boat, yacht, rising, yachts, admiralty, ships, rescue, lifted, lift, jfks, salvage, cargo, titanic, crew, rescuers, rescuer, productivity, skiffs, sinking, lifeboat, coast, seamen
115 war, iraq, costbenefit, costs, iraqi, analysis, cost, benefits, wars, estimates, estimate, iraqis, preventive, containment, saddam, davis, decision, trillion, iraqs, injuries, fighting, topel, billion, benefit, billions
116 africa, african, africas, g8, subsaharan, africans, kenya, aid, continent, nigeria, zimbabwe, angola, countries, progress, uganda, nations, congo, poverty, growth, mckinsey, exploitation, ghana, mugabe, neocolonialism, rwanda
117 vote, votes, electoral, voting, election, elections, presidential, winnertakeall, statebystate, candidate, voters, turnout, electors, candidates, recount, voter, 74, popular, demographic, recounts, winning, states, battleground, electing, polls
118 universities, university, colleges, nonprofit, profitmaking, alumni, institutions, phoenix, nonprofits, students, donations, institution, notforprofit, faculty, grants, private, college, universitys, eisman, accreditation, education, administrators, commercial, michigan, fundraising
119 tenure, faculty, tenured, professors, academic, retire, universities, academics, tenuretrack, faculties, institution, unpopular, older, aging, retirement, professor, colleges, teaching, retention, contract, employees, members, research, quits, retaliation
120 polygamy, polygamous, wives, polygyny, monogamy, polygamists, polyamory, polygamist, societies, monogamous, marriages, harem, women, men, marriage, polygynous, marry, polyandry, multiple, husband, legalized, mormon, husbands, wife, partners
121 poverty, poor, pockets, nonpoverty, poorer, impoverished, rich, line, climb, grinding, exammakers, experimenter, richest, disproportionately, richpoor, intersects, live, definitions, downtrodden, people, parlance, nations, ignorance, maps, low
122 libertarian, libertarians, libertarianism, paternalism, leftlibertarianism, paternalists, paternalist, selfregarding, choices, classical, paternalistic, acts, httpenwikipediaorgwikileftlibertarianism, httpuchicagolawtypepadcomfaculty200610sunsteinpodcashtml, anarchists, oxymoron, moderate, anarchism, thaler, pure, philosophy, coherent, sunstein, ideals, libertian
123 intervention, govt, government, intervene, imposition, minister, justified, interventionist, governments, interventionism, constituted, interventions, gov, interfering, meddling, involved, governmental, solution, functions, enabler, action, noninterventionist, ineffectiveness, responsibility, faction
124 decline, america, americas, vicious, americans, west, cycle, western, prosperity, declining, american, westerners, goodbye, world, exceptionalism, worldwide, irreversible, usa, liberalization, fate, calm, century, convergence, continue, sooner
125 doping, athletes, steroids, sports, athlete, banned, drugs, banning, steroid, baseball, athletic, players, anabolic, sport, substances, leagues, armstrong, enhancing, ban, tour, lance, peds, boxing, harmful, training
126 liberty, freedom, freedoms, fischer, individual, hackett, license, freepeople, latinate, connoted, preserved, franklin, belonging, durant, mps, infringements, security, historian, scroundels, rights, differing, quote, implied, separation, independence
127 obama, barack, obamas, barrack, president, elected, voted, compromise, administration, nonnativeborn, resurrected, blame, elkhart, bumpy, biggovernment, republican, potus, muslim, voters, black, presidentelect, republicans, mistakes, doubting, visions
128 investors, investment, portfolio, invest, stocks, stock, investments, returns, investor, funds, fund, indexes, indices, investing, invested, risk, managers, vanguard, portfolios, advice, swindlers, vanguards, consistently, averse, upfront
129 hamas, palestinians, israel, palestinian, fatah, palestine, hamass, victory, peace, israelis, election, fatahs, destruction, leaders, legitimacy, won, elections, populist, israeli, israels, aid, moderate, jewish, corrupt, violent
130 inflation, deflation, inflationary, deflationary, goods, prices, rises, percent, robs, supply, inflationaryexpectationsmodelling, inflationby, hyperinflation, ted, hc, expectations, letter, monetary, chasing, services, pressures, money, adjusting, economy, overheated
131 physicians, physician, doctors, specialists, doctor, patients, patient, medical, primarycare, hospital, maryland, medicine, nurses, shortage, hippocratic, practitioners, med, assistants, nurse, specialist, pcp, practioners, commissioned, professionals, oath
132 microsoft, microsofts, computer, windows, apple, iphone, computers, os, msft, software, netscape, intel, ibm, antitrust, desktop, vista, monopoly, laptop, products, devices, android, tablets, pc, xp, internet
133 hollywood, movies, actors, film, actor, films, filmmakers, audiences, hollywoods, liberal, theaters, theater, morals, conservative, liberals, views, media, studios, conservatives, industry, deviate, vicariously, writers, liberalism, directors
134 equality, egalitarian, equal, opportunity, egalitarianism, association, result, equitable, moral, equalization, leads, betweeen, precept, formalistic, elitist, enforced, principle, strive, concept, dreams, freedom, notions, goal, belief, outcomes
135 heck, yeah, , , , , , , , , , , , , , , , , , , , , , , 
136 billion, million, trillion, mil, year, dollars, 7000, 10000, 30k, 800000, 700, trillions, 30000, 100000, subzidies, 24000yr, 200000000, planecologics, 1000000, 900, 5000, 200, 63000, 24000, number
137 plagiarism, copying, plagarism, plagiarized, plagiarists, plagiarist, professors, writer, detection, plagiarizes, students, professor, ideas, plagiarizing, counterfeiting, plagiarize, deterrence, infractions, counterfeiters, author, counterfeit, fraud, attribution, punishments, ceremoniously
138 riots, riot, rioting, french, rioters, race, cities, france, police, looting, 1968, black, youths, protest, blacks, rodney, king, banfields, protests, muslim, sorbonne, unemployment, 1960s, angeles, london
139 corey, coreys, cookie, basal, ganglia, adjudication, hunch, coherency, hate, incoherent, cogency, preaches, nauseam, rhetorical, oppression, argument, sympathesize, village, disagree, antimajoritarian, jar, brains, middleclass, believes, beliefs
140 smoking, cigarettes, cigarette, smoke, tobacco, smokers, lung, smoker, cancer, nicotine, quitting, smokes, quit, obesity, ban, smoked, dangers, campaigns, settlement, ordinances, poison, antismoking, dnagenetic, reasonspartly, safer
141 percent, 50, cent, 20, steeper, 25, percentage, 34, 10, 80, rose, 40, 95, 354, 30, 2000s, percentages, 19, 2004, figures, tfr, 35, 55, rate, headline
142 points, point, missing, miss, couple, thats, original, discern, add, misses, advanceswhich, nordsieck, productits, distort, second, clear, quentin, grosse, oc, related, sayeth, nellehat, bayonet, howards, venom
143 policy, policies, makers, arguments, public, nonproblem, crafting, approaches, tailoring, questions, reaction, spheres, formulated, policymaking, constraints, hoc, advocate, analyzed, analyzing, counterproductive, proposed, tank, forcast, ignoramus, onesize
144 job, jobs, hire, hired, employment, employers, employer, employees, worker, coworkers, employee, hiring, trained, workers, onebecause, investigates, fired, training, workplace, terminated, arent, selfemployed, trusting, underperforming, excuses
145 trans, fats, transfats, transfat, restaurants, ban, fat, restaurant, heart, banning, meals, taste, food, consumers, eat, oils, mcdonalds, saturated, butter, substitutes, foods, consumption, dangers, meal, deaths
146 science, scientific, scientist, scientists, rocket, physics, settled, sciences, experiments, inquiry, nonscientist, chemist, method, inaibility, academician, nonscientists, theories, methodology, planck, sciencedaily, kuhn, pseudoscience, institute, humanitys, reductionist
147 costs, cost, costly, cheap, escalation, expensive, cheaper, containing, tradeoffs, teaches, absence, internalize, costlowest, penology, pliable, criminalisation, sunken, passingthrough, nihs, humilate, inscription, incrediblly, cassualties, futurecost, cheapbut
